"MRI_D_region","Freq"
"accessory-basal-nucleus in the right hemisphere",7
"amygdala in the left hemisphere",6
"amygdala in the right hemisphere",7
"ba3b in the left hemisphere",9
"bankssts in the left hemisphere",6
"bankssts in the right hemisphere",6
"caudalanteriorcingulate in the left hemisphere",9
"caudalanteriorcingulate in the right hemisphere",6
"cl in the left hemisphere",9
"cuneus in the left hemisphere",12
"cuneus in the right hemisphere",12
"fusiform in the left hemisphere",6
"fusiform in the right hemisphere",13
"g-cingul-post-dorsal in the right hemisphere",7
"g-cuneus in the left hemisphere",12
"g-cuneus in the right hemisphere",6
"g-front-middle in the left hemisphere",7
"g-front-middle in the right hemisphere",9
"g-front-sup in the right hemisphere",7
"g-ins-lg+s-cent-ins in the left hemisphere",7
"g-oc-temp-lat-fusifor in the right hemisphere",6
"g-oc-temp-med-lingual in the right hemisphere",6
"g-orbital in the right hemisphere",7
"g-temp-sup-plan-tempo in the left hemisphere",7
"g+s-transv-frontopol in the right hemisphere",7
"globalmeanmean thickness in the right hemisphere",6
"inferiorparietal in the left hemisphere",18
"inferiorparietal in the right hemisphere",6
"inferiortemporal in the left hemisphere",6
"inferiortemporal in the right hemisphere",6
"insula in the left hemisphere",28
"insula in the right hemisphere",9
"isthmuscingulate in the left hemisphere",6
"isthmuscingulate in the right hemisphere",6
"lateraloccipital in the left hemisphere",6
"lateraloccipital in the right hemisphere",12
"lateralorbitofrontal in the left hemisphere",6
"lateralorbitofrontal in the right hemisphere",13
"left pallidum",9
"lingual in the left hemisphere",6
"lingual in the right hemisphere",12
"medulla in the whole brain",7
"middletemporal in the left hemisphere",6
"middletemporal in the right hemisphere",6
"molecular-layer-hp-head in the right hemisphere",9
"paracentral in the left hemisphere",6
"paracentral in the right hemisphere",18
"parsopercularis in the left hemisphere",6
"parsopercularis in the right hemisphere",6
"parsorbitalis in the right hemisphere",6
"parstriangularis in the right hemisphere",6
"postcentral in the right hemisphere",6
"posteriorcingulate in the left hemisphere",6
"posteriorcingulate in the right hemisphere",6
"precuneus in the left hemisphere",6
"precuneus in the right hemisphere",18
"putamen in the right hemisphere",9
"right amygdala",7
"right inferior frontal gyrus, pars triangularis",9
"right postcentral gyrus",7
"right viib cerebellum",7
"right x cerebellum",6
"rostralanteriorcingulate in the right hemisphere",6
"rostralmiddlefrontal in the left hemisphere",14
"rostralmiddlefrontal in the right hemisphere",13
"s-calcarine in the left hemisphere",6
"s-calcarine in the right hemisphere",6
"s-circular-insula-sup in the left hemisphere",6
"s-circular-insula-sup in the right hemisphere",6
"s-intrapariet+p-trans in the left hemisphere",6
"s-intrapariet+p-trans in the right hemisphere",6
"s-oc-sup+transversal in the left hemisphere",6
"s-parieto-occipital in the right hemisphere",6
"superiorfrontal in the left hemisphere",20
"superiorfrontal in the right hemisphere",21
"superiorparietal in the left hemisphere",18
"superiorparietal in the right hemisphere",18
"superiortemporal in the left hemisphere",6
"superiortemporal in the right hemisphere",6
"supramarginal in the left hemisphere",6
"supramarginal in the right hemisphere",6
"temporalpole in the left hemisphere",6
"thalamus-proper in the left hemisphere",6
"thalamus-proper in the right hemisphere",6
"totalgray in the whole brain",7
"v2 in the left hemisphere",6
"v2 in the right hemisphere",12
