Dataset,Description,Category,ID
25488,Weighted-mean FA in tract acoustic radiation (left),Weighted-mean FA,1426
25489,Weighted-mean FA in tract acoustic radiation (right),Weighted-mean FA,1427
25490,Weighted-mean FA in tract anterior thalamic radiation (left),Weighted-mean FA,1428
25491,Weighted-mean FA in tract anterior thalamic radiation (right),Weighted-mean FA,1429
25492,Weighted-mean FA in tract cingulate gyrus part of cingulum (left),Weighted-mean FA,1430
25493,Weighted-mean FA in tract cingulate gyrus part of cingulum (right),Weighted-mean FA,1431
25496,Weighted-mean FA in tract corticospinal tract (left),Weighted-mean FA,1432
25497,Weighted-mean FA in tract corticospinal tract (right),Weighted-mean FA,1433
25498,Weighted-mean FA in tract forceps major,Weighted-mean FA,1434
25499,Weighted-mean FA in tract forceps minor,Weighted-mean FA,1435
25500,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),Weighted-mean FA,1436
25501,Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),Weighted-mean FA,1437
25502,Weighted-mean FA in tract inferior longitudinal fasciculus (left),Weighted-mean FA,1438
25503,Weighted-mean FA in tract inferior longitudinal fasciculus (right),Weighted-mean FA,1439
25505,Weighted-mean FA in tract medial lemniscus (left),Weighted-mean FA,1440
25506,Weighted-mean FA in tract medial lemniscus (right),Weighted-mean FA,1441
25504,Weighted-mean FA in tract middle cerebellar peduncle,Weighted-mean FA,1442
25494,Weighted-mean FA in tract parahippocampal part of cingulum (left),Weighted-mean FA,1443
25495,Weighted-mean FA in tract parahippocampal part of cingulum (right),Weighted-mean FA,1444
25507,Weighted-mean FA in tract posterior thalamic radiation (left),Weighted-mean FA,1445
25508,Weighted-mean FA in tract posterior thalamic radiation (right),Weighted-mean FA,1446
25509,Weighted-mean FA in tract superior longitudinal fasciculus (left),Weighted-mean FA,1447
25510,Weighted-mean FA in tract superior longitudinal fasciculus (right),Weighted-mean FA,1448
25511,Weighted-mean FA in tract superior thalamic radiation (left),Weighted-mean FA,1449
25512,Weighted-mean FA in tract superior thalamic radiation (right),Weighted-mean FA,1450
25513,Weighted-mean FA in tract uncinate fasciculus (left),Weighted-mean FA,1451
25514,Weighted-mean FA in tract uncinate fasciculus (right),Weighted-mean FA,1452
25650,Weighted-mean ICVF in tract acoustic radiation (left),Weighted-mean ICVF,1453
25651,Weighted-mean ICVF in tract acoustic radiation (right),Weighted-mean ICVF,1454
25652,Weighted-mean ICVF in tract anterior thalamic radiation (left),Weighted-mean ICVF,1455
25653,Weighted-mean ICVF in tract anterior thalamic radiation (right),Weighted-mean ICVF,1456
25654,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),Weighted-mean ICVF,1457
25655,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),Weighted-mean ICVF,1458
25658,Weighted-mean ICVF in tract corticospinal tract (left),Weighted-mean ICVF,1459
25659,Weighted-mean ICVF in tract corticospinal tract (right),Weighted-mean ICVF,1460
25660,Weighted-mean ICVF in tract forceps major,Weighted-mean ICVF,1461
25661,Weighted-mean ICVF in tract forceps minor,Weighted-mean ICVF,1462
