Dataset,Description,Category,ID
27143,Area of caudalanteriorcingulate (left hemisphere),Area,1
27236,Area of caudalanteriorcingulate (right hemisphere),Area,2
27144,Area of caudalmiddlefrontal (left hemisphere),Area,3
27237,Area of caudalmiddlefrontal (right hemisphere),Area,4
27145,Area of cuneus (left hemisphere),Area,5
27238,Area of cuneus (right hemisphere),Area,6
27146,Area of entorhinal (left hemisphere),Area,7
27239,Area of entorhinal (right hemisphere),Area,8
27147,Area of fusiform (left hemisphere),Area,9
27240,Area of fusiform (right hemisphere),Area,10
27148,Area of inferiorparietal (left hemisphere),Area,11
27241,Area of inferiorparietal (right hemisphere),Area,12
27149,Area of inferiortemporal (left hemisphere),Area,13
27242,Area of inferiortemporal (right hemisphere),Area,14
27173,Area of insula (left hemisphere),Area,15
27266,Area of insula (right hemisphere),Area,16
27150,Area of isthmuscingulate (left hemisphere),Area,17
27243,Area of isthmuscingulate (right hemisphere),Area,18
27151,Area of lateraloccipital (left hemisphere),Area,19
27244,Area of lateraloccipital (right hemisphere),Area,20
27152,Area of lateralorbitofrontal (left hemisphere),Area,21
27245,Area of lateralorbitofrontal (right hemisphere),Area,22
27153,Area of lingual (left hemisphere),Area,23
27246,Area of lingual (right hemisphere),Area,24
27154,Area of medialorbitofrontal (left hemisphere),Area,25
27247,Area of medialorbitofrontal (right hemisphere),Area,26
27155,Area of middletemporal (left hemisphere),Area,27
27248,Area of middletemporal (right hemisphere),Area,28
27157,Area of paracentral (left hemisphere),Area,29
27250,Area of paracentral (right hemisphere),Area,30
27156,Area of parahippocampal (left hemisphere),Area,31
27249,Area of parahippocampal (right hemisphere),Area,32
27158,Area of parsopercularis (left hemisphere),Area,33
27251,Area of parsopercularis (right hemisphere),Area,34
27159,Area of parsorbitalis (left hemisphere),Area,35
27252,Area of parsorbitalis (right hemisphere),Area,36
27160,Area of parstriangularis (left hemisphere),Area,37
27253,Area of parstriangularis (right hemisphere),Area,38
27161,Area of pericalcarine (left hemisphere),Area,39
27254,Area of pericalcarine (right hemisphere),Area,40
27162,Area of postcentral (left hemisphere),Area,41
27255,Area of postcentral (right hemisphere),Area,42
27163,Area of posteriorcingulate (left hemisphere),Area,43
27256,Area of posteriorcingulate (right hemisphere),Area,44
27164,Area of precentral (left hemisphere),Area,45
27257,Area of precentral (right hemisphere),Area,46
27165,Area of precuneus (left hemisphere),Area,47
27258,Area of precuneus (right hemisphere),Area,48
27166,Area of rostralanteriorcingulate (left hemisphere),Area,49
27259,Area of rostralanteriorcingulate (right hemisphere),Area,50
27167,Area of rostralmiddlefrontal (left hemisphere),Area,51
27260,Area of rostralmiddlefrontal (right hemisphere),Area,52
27168,Area of superiorfrontal (left hemisphere),Area,53
27261,Area of superiorfrontal (right hemisphere),Area,54
27169,Area of superiorparietal (left hemisphere),Area,55
27262,Area of superiorparietal (right hemisphere),Area,56
27170,Area of superiortemporal (left hemisphere),Area,57
