"MRI_S_region_8","MRI_S_category_8","Freq"
"648","Area",1
"649","Area",1
"661","Area",1
"685","Area",1
"705","Area",1
"1478","Mean FA",1
"1920","Mean ICVF",1
"1937","Mean ICVF",1
"1942","Mean ICVF",1
"1946","Mean ICVF",1
"1332","Mean intensity",1
"1333","Mean intensity",1
"1336","Mean intensity",1
"1338","Mean intensity",1
"1343","Mean intensity",1
"1358","Mean intensity",1
"1364","Mean intensity",1
"1366","Mean intensity",1
"2067","Mean ISOVF",1
"2073","Mean ISOVF",1
"2075","Mean ISOVF",1
"2077","Mean ISOVF",1
"2093","Mean ISOVF",1
"1680","Mean L1",1
"1681","Mean L1",1
"1693","Mean L1",1
"1698","Mean L2",1
"1701","Mean L2",1
"1710","Mean L2",1
"1750","Mean L3",1
"1791","Mean L3",1
"1625","Mean MD",1
"1637","Mean MD",1
"1542","Mean MO",1
"1544","Mean MO",1
"1993","Mean OD",1
"2006","Mean OD",1
"2023","Mean OD",1
"2234","rfMRI",1
"2315","rfMRI",1
"2360","rfMRI",1
"2391","rfMRI",1
"2425","rfMRI",1
"195","Volume",1
"197","Volume",1
"198","Volume",1
"201","Volume",1
"204","Volume",1
"209","Volume",1
"210","Volume",1
"224","Volume",1
"225","Volume",1
"228","Volume",1
"251","Volume",1
"258","Volume",1
"263","Volume",1
"266","Volume",1
"268","Volume",2
"273","Volume",1
"284","Volume",1
"285","Volume",1
"296","Volume",1
"303","Volume",1
"304","Volume",1
"314","Volume",2
"318","Volume",1
"326","Volume",1
"355","Volume",1
"360","Volume",1
"374","Volume",1
"146","Volume of grey matter",1
"150","Volume of grey matter",1
"152","Volume of grey matter",1
"156","Volume of grey matter",1
"157","Volume of grey matter",1
"26","Volume of grey matter",1
"53","Volume of grey matter",1
"1513","Weighted-mean FA",1
"1524","Weighted-mean FA",1
"2106","Weighted-mean ISOVF",1
"2108","Weighted-mean ISOVF",1
"2119","Weighted-mean ISOVF",1
"1877","Weighted-mean L3",1
"1805","Weighted-mean MD",1
"1584","Weighted-mean MO",1
"1590","Weighted-mean MO",1
"2037","Weighted-mean OD",1
