"MRI_S_region","Freq"
"ba1 in the left hemisphere",9
"ba44 in the left hemisphere",9
"ba44 in the right hemisphere",37
"ba45 in the left hemisphere",9
"ba45 in the right hemisphere",9
"ba4p in the left hemisphere",11
"ba6 in the right hemisphere",9
"caudalanteriorcingulate in the left hemisphere",35
"caudalmiddlefrontal in the left hemisphere",18
"cc-anterior in the whole brain",3
"cc-posterior in the whole brain",35
"fusiform in the right hemisphere",61
"g-front-inf-opercular in the right hemisphere",9
"g-front-inf-orbital in the right hemisphere",9
"g-front-middle in the left hemisphere",22
"g-front-middle in the right hemisphere",9
"g-front-sup in the right hemisphere",18
"g-ins-lg+s-cent-ins in the left hemisphere",44
"g-pariet-inf-supramar in the left hemisphere",9
"g-pariet-inf-supramar in the right hemisphere",9
"g-postcentral in the left hemisphere",9
"g-temp-sup-lateral in the right hemisphere",9
"g-temporal-inf in the left hemisphere",29
"g-temporal-inf in the right hemisphere",25
"g+s-cingul-ant in the left hemisphere",9
"g+s-cingul-mid-ant in the left hemisphere",9
"g+s-cingul-mid-post in the left hemisphere",3
"g+s-transv-frontopol in the right hemisphere",27
"inferiortemporal in the right hemisphere",53
"insula in the left hemisphere",6
"insula in the right hemisphere",6
"isthmuscingulate in the right hemisphere",8
"l-sg in the right hemisphere",6
"lat-fis-post in the left hemisphere",36
"lateraloccipital in the right hemisphere",44
"left planum temporale",36
"left precuneous cortex",24
"left superior temporal gyrus, posterior division",36
"medialorbitofrontal in the left hemisphere",9
"medialorbitofrontal in the right hemisphere",18
"number of holesbeforefixing in the left hemisphere",33
"pallidum in the right hemisphere",8
"paracentral in the right hemisphere",36
"parsopercularis in the right hemisphere",9
"parsorbitalis in the right hemisphere",18
"parstriangularis in the right hemisphere",18
"perirhinal in the left hemisphere",29
"postcentral in the left hemisphere",18
"posteriorcingulate in the right hemisphere",3
"pt in the left hemisphere",21
"pt in the right hemisphere",6
"pui in the left hemisphere",3
"pum in the left hemisphere",32
"right precentral gyrus",8
"rostralanteriorcingulate in the left hemisphere",9
"rostralmiddlefrontal in the left hemisphere",22
"rostralmiddlefrontal in the right hemisphere",18
"s-circular-insula-inf in the right hemisphere",9
"s-circular-insula-sup in the left hemisphere",9
"s-collat-transv-post in the left hemisphere",16
"s-front-inf in the left hemisphere",9
"s-front-inf in the right hemisphere",9
"s-front-middle in the left hemisphere",31
"s-front-middle in the right hemisphere",9
"s-intrapariet+p-trans in the left hemisphere",26
"s-orbital-lateral in the left hemisphere",16
"superiorfrontal in the right hemisphere",18
"superiorparietal in the left hemisphere",36
"supramarginal in the left hemisphere",18
"totalsurface in the right hemisphere",9
"transversetemporal in the left hemisphere",108
"transversetemporal in the right hemisphere",8
"vermis viiia cerebellum",36
"vpl in the right hemisphere",6
"wm-hypointensities in the whole brain",35
